No.,G_N2,G_CO2,G_H2S,G_C1,G_C2,G_C3,G_C4,G_C5,G_C6,G_C7+,TR (℃),O_N2,O_CO2,O_C1,O_C2,O_C3,O_C4,O_C5,O_C6,O_C7+,MWC7+ (g/mol),EM,MMP (MPa),
1,0,100,0,0,0,0,0,0,0,0,42.78,0,0,17.07,6.41,7.82,6.72,2.69,5.19,54.1,222,0,10.34,
2,0,100,0,0,0,0,0,0,0,0,39.44,0.03,3.2,27.81,8.21,5.99,4.41,3.6,4.62,42.13,223,0,13.79,
3,0,100,0,0,0,0,0,0,0,0,54.44,0.83,0.32,28.65,11.29,12.39,7.82,4.49,4.06,30.15,197.4,0,11.03,
4,0,100,0,0,0,0,0,0,0,0,40,0.1,0,24.15,11.46,8.62,3.77,3.05,3.81,45.04,221,0,12.4,
5,0,100,0,0,0,0,0,0,0,0,42.8,0,0.02,17.04,6.9,6.01,4.31,0.97,5.21,59.54,235,0,8.96,
6,9.658,85.757,0,4.563,0.014,0.004,0.003,0.001,0,0,71.11,0.338,0.245,4.067,3.106,4.876,5.67,5.515,5.512,70.671,227.94,0,20.96,
7,0.081,95.016,0,4.892,0.009,0.002,0,0,0,0,71.11,0.338,0.245,4.067,3.106,4.876,5.67,5.515,5.512,70.671,227.94,0,14.48,
8,0,40,40,20,0,0,0,0,0,0,40.6,0.6,0.58,9.9,2.72,4.98,6,5.89,4.85,64.48,206,0,12.06,
9,0,45,45,10,0,0,0,0,0,0,40.6,0.6,0.58,9.9,2.72,4.98,6,5.89,4.85,64.48,206,0,8.83,
10,0,45,45,10,0,0,0,0,0,0,57.2,0.6,0.58,9.9,2.72,4.98,6,5.89,4.85,64.48,206,0,10.38,
11,0,50,50,0,0,0,0,0,0,0,40.6,0.6,0.58,9.9,2.72,4.98,6,5.89,4.85,64.48,206,0,6.55,
12,0,50,50,0,0,0,0,0,0,0,57.2,0.6,0.58,9.9,2.72,4.98,6,5.89,4.85,64.48,206,0,8.97,
13,0,55,25,20,0,0,0,0,0,0,57.2,0.6,0.58,9.9,2.72,4.98,6,5.89,4.85,64.48,206,0,16.45,
